timestamp,meter_id,consumption_kwh,temperature_c,is_weekend
2024-01-01 00:00:00,METER_001,15.43,22.5,False
2024-01-01 01:00:00,METER_001,17.71,25.0,False
2024-01-01 02:00:00,METER_001,17.36,26.5,False
2024-01-01 03:00:00,METER_001,22.72,27.3,False
2024-01-01 04:00:00,METER_001,21.87,25.6,False
2024-01-01 05:00:00,METER_001,20.57,23.9,False
2024-01-01 06:00:00,METER_001,24.05,24.5,False
2024-01-01 07:00:00,METER_001,21.56,26.6,False
2024-01-01 08:00:00,METER_001,18.82,23.5,False
2024-01-01 09:00:00,METER_001,19.61,25.3,False
2024-01-01 10:00:00,METER_001,19.14,22.9,False
2024-01-01 11:00:00,METER_001,19.09,27.3,False
2024-01-01 12:00:00,METER_001,14.37,26.7,False
2024-01-01 13:00:00,METER_001,15.95,27.4,False
2024-01-01 14:00:00,METER_001,12.52,22.4,False
2024-01-01 15:00:00,METER_001,8.96,25.7,False
2024-01-01 16:00:00,METER_001,13.44,25.8,False
2024-01-01 17:00:00,METER_001,10.49,22.1,False
2024-01-01 18:00:00,METER_001,4.72,20.7,False
2024-01-01 19:00:00,METER_001,13.35,24.2,False
2024-01-01 20:00:00,METER_001,13.32,27.6,False
2024-01-01 21:00:00,METER_001,11.35,24.3,False
2024-01-01 22:00:00,METER_001,11.15,27.5,False
2024-01-01 23:00:00,METER_001,16.38,26.7,False
2024-01-02 00:00:00,METER_001,14.32,23.6,False
2024-01-02 01:00:00,METER_001,20.47,29.4,False
2024-01-02 02:00:00,METER_001,18.19,24.5,False
2024-01-02 03:00:00,METER_001,14.71,23.6,False
2024-01-02 04:00:00,METER_001,17.85,25.0,False
2024-01-02 05:00:00,METER_001,25.14,25.3,False
2024-01-02 06:00:00,METER_001,21.49,21.6,False
2024-01-02 07:00:00,METER_001,19.08,24.5,False
2024-01-02 08:00:00,METER_001,19.11,28.6,False
2024-01-02 09:00:00,METER_001,18.56,25.8,False
2024-01-02 10:00:00,METER_001,17.06,27.9,False
2024-01-02 11:00:00,METER_001,14.54,25.1,False
2024-01-02 12:00:00,METER_001,11.86,24.8,False
2024-01-02 13:00:00,METER_001,14.21,24.4,False
2024-01-02 14:00:00,METER_001,13.11,24.9,False
2024-01-02 15:00:00,METER_001,11.06,28.2,False
2024-01-02 16:00:00,METER_001,14.06,25.8,False
2024-01-02 17:00:00,METER_001,7.62,23.3,False
2024-01-02 18:00:00,METER_001,12.54,24.6,False
2024-01-02 19:00:00,METER_001,12.59,23.6,False
2024-01-02 20:00:00,METER_001,7.55,26.1,False
2024-01-02 21:00:00,METER_001,16.16,29.3,False
2024-01-02 22:00:00,METER_001,13.52,24.0,False
2024-01-02 23:00:00,METER_001,14.55,31.5,False
2024-01-03 00:00:00,METER_001,13.35,29.6,False
2024-01-03 01:00:00,METER_001,19.05,24.7,False
2024-01-03 02:00:00,METER_001,19.26,26.3,False
2024-01-03 03:00:00,METER_001,15.64,26.8,False
2024-01-03 04:00:00,METER_001,21.01,25.8,False
2024-01-03 05:00:00,METER_001,20.84,24.4,False
2024-01-03 06:00:00,METER_001,19.1,25.9,False
2024-01-03 07:00:00,METER_001,23.02,24.8,False
2024-01-03 08:00:00,METER_001,22.94,23.5,False
2024-01-03 09:00:00,METER_001,18.24,24.9,False
2024-01-03 10:00:00,METER_001,20.73,26.8,False
2024-01-03 11:00:00,METER_001,18.67,25.7,False
2024-01-03 12:00:00,METER_001,13.92,27.0,False
2024-01-03 13:00:00,METER_001,14.2,29.8,False
2024-01-03 14:00:00,METER_001,12.89,24.9,False
2024-01-03 15:00:00,METER_001,15.31,28.4,False
2024-01-03 16:00:00,METER_001,14.2,26.0,False
2024-01-03 17:00:00,METER_001,12.0,24.4,False
2024-01-03 18:00:00,METER_001,9.12,25.4,False
2024-01-03 19:00:00,METER_001,8.43,22.1,False
2024-01-03 20:00:00,METER_001,6.45,26.4,False
2024-01-03 21:00:00,METER_001,11.39,26.9,False
2024-01-03 22:00:00,METER_001,14.99,26.7,False
2024-01-03 23:00:00,METER_001,12.37,27.0,False
2024-01-04 00:00:00,METER_001,17.95,22.5,False
2024-01-04 01:00:00,METER_001,16.56,25.6,False
2024-01-04 02:00:00,METER_001,19.3,25.0,False
2024-01-04 03:00:00,METER_001,17.94,26.4,False
2024-01-04 04:00:00,METER_001,19.83,23.9,False
2024-01-04 05:00:00,METER_001,20.09,29.1,False
2024-01-04 06:00:00,METER_001,24.38,24.1,False
2024-01-04 07:00:00,METER_001,22.75,23.8,False
2024-01-04 08:00:00,METER_001,21.39,21.4,False
2024-01-04 09:00:00,METER_001,23.71,26.6,False
2024-01-04 10:00:00,METER_001,22.88,26.4,False
2024-01-04 11:00:00,METER_001,19.36,29.0,False
2024-01-04 12:00:00,METER_001,16.85,22.1,False
2024-01-04 13:00:00,METER_001,9.86,26.8,False
2024-01-04 14:00:00,METER_001,11.62,27.1,False
2024-01-04 15:00:00,METER_001,10.11,23.2,False
2024-01-04 16:00:00,METER_001,11.5,23.7,False
2024-01-04 17:00:00,METER_001,11.4,26.0,False
2024-01-04 18:00:00,METER_001,8.87,24.5,False
2024-01-04 19:00:00,METER_001,10.4,26.4,False
2024-01-04 20:00:00,METER_001,13.13,27.6,False
2024-01-04 21:00:00,METER_001,10.45,25.8,False
2024-01-04 22:00:00,METER_001,12.92,23.1,False
2024-01-04 23:00:00,METER_001,14.85,23.6,False
2024-01-05 00:00:00,METER_001,17.7,26.8,False
2024-01-05 01:00:00,METER_001,18.16,25.8,False
2024-01-05 02:00:00,METER_001,18.74,27.0,False
2024-01-05 03:00:00,METER_001,21.66,23.4,False
2024-01-05 04:00:00,METER_001,22.38,24.7,False
2024-01-05 05:00:00,METER_001,23.37,27.0,False
2024-01-05 06:00:00,METER_001,22.12,27.3,False
2024-01-05 07:00:00,METER_001,23.57,21.8,False
2024-01-05 08:00:00,METER_001,20.26,26.7,False
2024-01-05 09:00:00,METER_001,25.32,26.4,False
2024-01-05 10:00:00,METER_001,17.47,22.6,False
2024-01-05 11:00:00,METER_001,17.1,29.6,False
2024-01-05 12:00:00,METER_001,16.13,27.3,False
2024-01-05 13:00:00,METER_001,15.4,26.5,False
2024-01-05 14:00:00,METER_001,12.55,25.7,False
2024-01-05 15:00:00,METER_001,13.03,24.6,False
2024-01-05 16:00:00,METER_001,12.17,24.0,False
2024-01-05 17:00:00,METER_001,14.77,24.7,False
2024-01-05 18:00:00,METER_001,13.08,28.3,False
2024-01-05 19:00:00,METER_001,12.55,21.1,False
2024-01-05 20:00:00,METER_001,13.59,23.3,False
2024-01-05 21:00:00,METER_001,9.95,26.5,False
2024-01-05 22:00:00,METER_001,14.34,24.9,False
2024-01-05 23:00:00,METER_001,16.42,25.0,False
2024-01-06 00:00:00,METER_001,15.41,25.3,True
2024-01-06 01:00:00,METER_001,15.92,24.4,True
2024-01-06 02:00:00,METER_001,21.98,24.2,True
2024-01-06 03:00:00,METER_001,17.43,26.9,True
